,area,data,era,results,status,jobs_finished,jobs_total
0,work_areas/crab_2016_Higgs_ggH_GluGluHToMuMu_M125_TuneCP5_PSweights_13TeV_amcatnl_deepflavour_bff,False,2016,"CRAB project directory:		/afs/cern.ch/work/r/rymuelle/public/nanoAODzPrime/CMSSW_10_6_24/src/PhysicsTools/NanoAODTools/crab_python/work_areas/crab_2016_Higgs_ggH_GluGluHToMuMu_M125_TuneCP5_PSweights_13TeV_amcatnl_deepflavour_bff
Task name:			220512_173104:rymuelle_crab_2016_Higgs_ggH_GluGluHToMuMu_M125_TuneCP5_PSweights_13TeV_amcatnl_deepflavour_bff
Grid scheduler - Task Worker:	N/A yet - crab-prod-tw01
Status on the CRAB server:	UPLOADED
Task URL to use for HELP:	https://cmsweb.cern.ch/crabserver/ui/task/220512_173104%3Arymuelle_crab_2016_Higgs_ggH_GluGluHToMuMu_M125_TuneCP5_PSweights_13TeV_amcatnl_deepflavour_bff
Dashboard monitoring URL:	https://monit-grafana.cern.ch/d/cmsTMDetail/cms-task-monitoring-task-view?orgId=11&var-user=rymuelle&var-task=220512_173104%3Arymuelle_crab_2016_Higgs_ggH_GluGluHToMuMu_M125_TuneCP5_PSweights_13TeV_amcatnl_deepflavour_bff&from=1652373065000&to=now
Log file is /afs/cern.ch/work/r/rymuelle/public/nanoAODzPrime/CMSSW_10_6_24/src/PhysicsTools/NanoAODTools/crab_python/work_areas/crab_2016_Higgs_ggH_GluGluHToMuMu_M125_TuneCP5_PSweights_13TeV_amcatnl_deepflavour_bff/crab.log
",0,0,0
1,work_areas/crab_2016_data_SingleMuonH_SingleMuon_deepflavour_bff,True,2016,"CRAB project directory:		/afs/cern.ch/work/r/rymuelle/public/nanoAODzPrime/CMSSW_10_6_24/src/PhysicsTools/NanoAODTools/crab_python/work_areas/crab_2016_data_SingleMuonH_SingleMuon_deepflavour_bff
Task name:			220512_180829:rymuelle_crab_2016_data_SingleMuonH_SingleMuon_deepflavour_bff
Grid scheduler - Task Worker:	crab3@vocms0107.cern.ch - crab-prod-tw01
Status on the CRAB server:	SUBMITTED
Task URL to use for HELP:	https://cmsweb.cern.ch/crabserver/ui/task/220512_180829%3Arymuelle_crab_2016_data_SingleMuonH_SingleMuon_deepflavour_bff
Dashboard monitoring URL:	https://monit-grafana.cern.ch/d/cmsTMDetail/cms-task-monitoring-task-view?orgId=11&var-user=rymuelle&var-task=220512_180829%3Arymuelle_crab_2016_data_SingleMuonH_SingleMuon_deepflavour_bff&from=1652375310000&to=now
Status on the scheduler:	COMPLETED

Jobs status:                    finished     		100.0% (101/101)

No publication information (publication has been disabled in the CRAB configuration file)

Warning: the average jobs CPU efficiency is less than 50%, please consider to improve the jobs splitting (e.g. config.Data.splitting = 'Automatic') in a new task

Summary of run jobs:
 * Memory: 58MB min, 752MB max, 515MB ave
 * Runtime: 0:03:38 min, 15:13:59 max, 2:54:19 ave
 * CPU eff: 2% min, 92% max, 6% ave
 * Waste: 13:23:26 (4% of total)

Log file is /afs/cern.ch/work/r/rymuelle/public/nanoAODzPrime/CMSSW_10_6_24/src/PhysicsTools/NanoAODTools/crab_python/work_areas/crab_2016_data_SingleMuonH_SingleMuon_deepflavour_bff/crab.log
",finished,101,101
2,work_areas/crab_2016_data_SingleMuonG_SingleMuon_deepflavour_bff,True,2016,"CRAB project directory:		/afs/cern.ch/work/r/rymuelle/public/nanoAODzPrime/CMSSW_10_6_24/src/PhysicsTools/NanoAODTools/crab_python/work_areas/crab_2016_data_SingleMuonG_SingleMuon_deepflavour_bff
Task name:			220512_181050:rymuelle_crab_2016_data_SingleMuonG_SingleMuon_deepflavour_bff
Grid scheduler - Task Worker:	crab3@vocms0120.cern.ch - crab-prod-tw01
Status on the CRAB server:	SUBMITTED
Task URL to use for HELP:	https://cmsweb.cern.ch/crabserver/ui/task/220512_181050%3Arymuelle_crab_2016_data_SingleMuonG_SingleMuon_deepflavour_bff
Dashboard monitoring URL:	https://monit-grafana.cern.ch/d/cmsTMDetail/cms-task-monitoring-task-view?orgId=11&var-user=rymuelle&var-task=220512_181050%3Arymuelle_crab_2016_data_SingleMuonG_SingleMuon_deepflavour_bff&from=1652375450000&to=now
Status on the scheduler:	COMPLETED

Jobs status:                    finished     		100.0% (95/95)

No publication information (publication has been disabled in the CRAB configuration file)

Warning: the average jobs CPU efficiency is less than 50%, please consider to improve the jobs splitting (e.g. config.Data.splitting = 'Automatic') in a new task

Summary of run jobs:
 * Memory: 149MB min, 732MB max, 521MB ave
 * Runtime: 0:02:29 min, 18:06:38 max, 2:20:23 ave
 * CPU eff: 2% min, 216% max, 12% ave
 * Waste: 26:16:47 (11% of total)

Log file is /afs/cern.ch/work/r/rymuelle/public/nanoAODzPrime/CMSSW_10_6_24/src/PhysicsTools/NanoAODTools/crab_python/work_areas/crab_2016_data_SingleMuonG_SingleMuon_deepflavour_bff/crab.log
",finished,95,95
3,work_areas/crab_2016_data_SingleMuonF_SingleMuon_deepflavour_bff,True,2016,"CRAB project directory:		/afs/cern.ch/work/r/rymuelle/public/nanoAODzPrime/CMSSW_10_6_24/src/PhysicsTools/NanoAODTools/crab_python/work_areas/crab_2016_data_SingleMuonF_SingleMuon_deepflavour_bff
Task name:			220512_182051:rymuelle_crab_2016_data_SingleMuonF_SingleMuon_deepflavour_bff
Grid scheduler - Task Worker:	crab3@vocms0107.cern.ch - crab-prod-tw01
Status on the CRAB server:	SUBMITTED
Task URL to use for HELP:	https://cmsweb.cern.ch/crabserver/ui/task/220512_182051%3Arymuelle_crab_2016_data_SingleMuonF_SingleMuon_deepflavour_bff
Dashboard monitoring URL:	https://monit-grafana.cern.ch/d/cmsTMDetail/cms-task-monitoring-task-view?orgId=11&var-user=rymuelle&var-task=220512_182051%3Arymuelle_crab_2016_data_SingleMuonF_SingleMuon_deepflavour_bff&from=1652376051000&to=now
Status on the scheduler:	SUBMITTED

Jobs status:                    finished     		 94.4% (51/54)
				running      		  5.6% ( 3/54)

No publication information (publication has been disabled in the CRAB configuration file)

Warning: the average jobs CPU efficiency is less than 50%, please consider to improve the jobs splitting (e.g. config.Data.splitting = 'Automatic') in a new task

Summary of run jobs:
 * Memory: 3MB min, 588MB max, 491MB ave
 * Runtime: 0:02:31 min, 8:57:17 max, 1:43:09 ave
 * CPU eff: 2% min, 94% max, 10% ave
 * Waste: 3:23:48 (4% of total)

Log file is /afs/cern.ch/work/r/rymuelle/public/nanoAODzPrime/CMSSW_10_6_24/src/PhysicsTools/NanoAODTools/crab_python/work_areas/crab_2016_data_SingleMuonF_SingleMuon_deepflavour_bff/crab.log
",finished,51,54
4,work_areas/crab_2016_data_SingleMuonE_SingleMuon_deepflavour_bff,True,2016,"CRAB project directory:		/afs/cern.ch/work/r/rymuelle/public/nanoAODzPrime/CMSSW_10_6_24/src/PhysicsTools/NanoAODTools/crab_python/work_areas/crab_2016_data_SingleMuonE_SingleMuon_deepflavour_bff
Task name:			220512_182318:rymuelle_crab_2016_data_SingleMuonE_SingleMuon_deepflavour_bff
Grid scheduler - Task Worker:	crab3@vocms0197.cern.ch - crab-prod-tw01
Status on the CRAB server:	SUBMITTED
Task URL to use for HELP:	https://cmsweb.cern.ch/crabserver/ui/task/220512_182318%3Arymuelle_crab_2016_data_SingleMuonE_SingleMuon_deepflavour_bff
Dashboard monitoring URL:	https://monit-grafana.cern.ch/d/cmsTMDetail/cms-task-monitoring-task-view?orgId=11&var-user=rymuelle&var-task=220512_182318%3Arymuelle_crab_2016_data_SingleMuonE_SingleMuon_deepflavour_bff&from=1652376198000&to=now
Status on the scheduler:	SUBMITTED

Jobs status:                    finished     		 98.4% (61/62)
				running      		  1.6% ( 1/62)

No publication information (publication has been disabled in the CRAB configuration file)

Warning: the average jobs CPU efficiency is less than 50%, please consider to improve the jobs splitting (e.g. config.Data.splitting = 'Automatic') in a new task

Summary of run jobs:
 * Memory: 3MB min, 627MB max, 494MB ave
 * Runtime: 0:02:09 min, 13:41:05 max, 2:50:18 ave
 * CPU eff: 3% min, 91% max, 6% ave
 * Waste: 25:38:12 (13% of total)

Log file is /afs/cern.ch/work/r/rymuelle/public/nanoAODzPrime/CMSSW_10_6_24/src/PhysicsTools/NanoAODTools/crab_python/work_areas/crab_2016_data_SingleMuonE_SingleMuon_deepflavour_bff/crab.log
",finished,61,62
5,work_areas/crab_2016_data_SingleMuonD_SingleMuon_deepflavour_bff,True,2016,"CRAB project directory:		/afs/cern.ch/work/r/rymuelle/public/nanoAODzPrime/CMSSW_10_6_24/src/PhysicsTools/NanoAODTools/crab_python/work_areas/crab_2016_data_SingleMuonD_SingleMuon_deepflavour_bff
Task name:			220512_182444:rymuelle_crab_2016_data_SingleMuonD_SingleMuon_deepflavour_bff
Grid scheduler - Task Worker:	crab3@vocms0106.cern.ch - crab-prod-tw01
Status on the CRAB server:	SUBMITTED
Task URL to use for HELP:	https://cmsweb.cern.ch/crabserver/ui/task/220512_182444%3Arymuelle_crab_2016_data_SingleMuonD_SingleMuon_deepflavour_bff
Dashboard monitoring URL:	https://monit-grafana.cern.ch/d/cmsTMDetail/cms-task-monitoring-task-view?orgId=11&var-user=rymuelle&var-task=220512_182444%3Arymuelle_crab_2016_data_SingleMuonD_SingleMuon_deepflavour_bff&from=1652376284000&to=now
Status on the scheduler:	SUBMITTED

Jobs status:                    finished     		 87.9% (87/99)
				running      		 12.1% (12/99)

No publication information (publication has been disabled in the CRAB configuration file)

Warning: the average jobs CPU efficiency is less than 50%, please consider to improve the jobs splitting (e.g. config.Data.splitting = 'Automatic') in a new task

Summary of run jobs:
 * Memory: 36MB min, 759MB max, 474MB ave
 * Runtime: 0:03:17 min, 13:29:39 max, 4:00:52 ave
 * CPU eff: 2% min, 268% max, 4% ave
 * Waste: 17:44:21 (5% of total)

Log file is /afs/cern.ch/work/r/rymuelle/public/nanoAODzPrime/CMSSW_10_6_24/src/PhysicsTools/NanoAODTools/crab_python/work_areas/crab_2016_data_SingleMuonD_SingleMuon_deepflavour_bff/crab.log
",finished,0,0
6,work_areas/crab_2016_data_SingleMuonC_SingleMuon_deepflavour_bff,True,2016,"CRAB project directory:		/afs/cern.ch/work/r/rymuelle/public/nanoAODzPrime/CMSSW_10_6_24/src/PhysicsTools/NanoAODTools/crab_python/work_areas/crab_2016_data_SingleMuonC_SingleMuon_deepflavour_bff
Task name:			220512_182709:rymuelle_crab_2016_data_SingleMuonC_SingleMuon_deepflavour_bff
Grid scheduler - Task Worker:	crab3@vocms0122.cern.ch - crab-prod-tw01
Status on the CRAB server:	SUBMITTED
Task URL to use for HELP:	https://cmsweb.cern.ch/crabserver/ui/task/220512_182709%3Arymuelle_crab_2016_data_SingleMuonC_SingleMuon_deepflavour_bff
Dashboard monitoring URL:	https://monit-grafana.cern.ch/d/cmsTMDetail/cms-task-monitoring-task-view?orgId=11&var-user=rymuelle&var-task=220512_182709%3Arymuelle_crab_2016_data_SingleMuonC_SingleMuon_deepflavour_bff&from=1652376434000&to=now
Status on the scheduler:	COMPLETED

Jobs status:                    finished     		100.0% (43/43)

No publication information (publication has been disabled in the CRAB configuration file)

Warning: the average jobs CPU efficiency is less than 50%, please consider to improve the jobs splitting (e.g. config.Data.splitting = 'Automatic') in a new task

Summary of run jobs:
 * Memory: 375MB min, 605MB max, 492MB ave
 * Runtime: 0:24:57 min, 16:06:57 max, 6:47:40 ave
 * CPU eff: 2% min, 6% max, 4% ave
 * Waste: 2:41:44 (1% of total)

Log file is /afs/cern.ch/work/r/rymuelle/public/nanoAODzPrime/CMSSW_10_6_24/src/PhysicsTools/NanoAODTools/crab_python/work_areas/crab_2016_data_SingleMuonC_SingleMuon_deepflavour_bff/crab.log
",finished,43,43
7,work_areas/crab_2016_data_SingleMuonB_SingleMuon_deepflavour_bff,True,2016,"CRAB project directory:		/afs/cern.ch/work/r/rymuelle/public/nanoAODzPrime/CMSSW_10_6_24/src/PhysicsTools/NanoAODTools/crab_python/work_areas/crab_2016_data_SingleMuonB_SingleMuon_deepflavour_bff
Task name:			220512_182839:rymuelle_crab_2016_data_SingleMuonB_SingleMuon_deepflavour_bff
Grid scheduler - Task Worker:	crab3@vocms0196.cern.ch - crab-prod-tw01
Status on the CRAB server:	SUBMITTED
Task URL to use for HELP:	https://cmsweb.cern.ch/crabserver/ui/task/220512_182839%3Arymuelle_crab_2016_data_SingleMuonB_SingleMuon_deepflavour_bff
Dashboard monitoring URL:	https://monit-grafana.cern.ch/d/cmsTMDetail/cms-task-monitoring-task-view?orgId=11&var-user=rymuelle&var-task=220512_182839%3Arymuelle_crab_2016_data_SingleMuonB_SingleMuon_deepflavour_bff&from=1652376519000&to=now
Status on the scheduler:	COMPLETED

Jobs status:                    finished     		100.0% (84/84)

No publication information (publication has been disabled in the CRAB configuration file)

Warning: the max jobs runtime is less than 30% of the task requested value (1250 min), please consider to request a lower value for failed jobs (allowed through crab resubmit) and/or improve the jobs splitting (e.g. config.Data.splitting = 'Automatic') in a new task.

Summary of run jobs:
 * Memory: 54MB min, 617MB max, 508MB ave
 * Runtime: 0:01:03 min, 1:15:26 max, 0:19:18 ave
 * CPU eff: 34% min, 97% max, 78% ave
 * Waste: 3:27:59 (11% of total)

Log file is /afs/cern.ch/work/r/rymuelle/public/nanoAODzPrime/CMSSW_10_6_24/src/PhysicsTools/NanoAODTools/crab_python/work_areas/crab_2016_data_SingleMuonB_SingleMuon_deepflavour_bff/crab.log
",finished,84,84
8,work_areas/crab_2016_data_DoubleEGH_DoubleEG_deepflavour_bff,True,2016,"CRAB project directory:		/afs/cern.ch/work/r/rymuelle/public/nanoAODzPrime/CMSSW_10_6_24/src/PhysicsTools/NanoAODTools/crab_python/work_areas/crab_2016_data_DoubleEGH_DoubleEG_deepflavour_bff
Task name:			220512_183231:rymuelle_crab_2016_data_DoubleEGH_DoubleEG_deepflavour_bff
Grid scheduler - Task Worker:	crab3@vocms0199.cern.ch - crab-prod-tw01
Status on the CRAB server:	SUBMITTED
Task URL to use for HELP:	https://cmsweb.cern.ch/crabserver/ui/task/220512_183231%3Arymuelle_crab_2016_data_DoubleEGH_DoubleEG_deepflavour_bff
Dashboard monitoring URL:	https://monit-grafana.cern.ch/d/cmsTMDetail/cms-task-monitoring-task-view?orgId=11&var-user=rymuelle&var-task=220512_183231%3Arymuelle_crab_2016_data_DoubleEGH_DoubleEG_deepflavour_bff&from=1652376751000&to=now
Status on the scheduler:	COMPLETED

Jobs status:                    finished     		100.0% (82/82)

No publication information (publication has been disabled in the CRAB configuration file)

Warning: the average jobs CPU efficiency is less than 50%, please consider to improve the jobs splitting (e.g. config.Data.splitting = 'Automatic') in a new task

Summary of run jobs:
 * Memory: 23MB min, 655MB max, 475MB ave
 * Runtime: 0:01:02 min, 9:14:48 max, 0:27:37 ave
 * CPU eff: 2% min, 93% max, 25% ave
 * Waste: 2:19:56 (6% of total)

Log file is /afs/cern.ch/work/r/rymuelle/public/nanoAODzPrime/CMSSW_10_6_24/src/PhysicsTools/NanoAODTools/crab_python/work_areas/crab_2016_data_DoubleEGH_DoubleEG_deepflavour_bff/crab.log
",finished,82,82
9,work_areas/crab_2016_data_DoubleEGG_DoubleEG_deepflavour_bff,True,2016,"CRAB project directory:		/afs/cern.ch/work/r/rymuelle/public/nanoAODzPrime/CMSSW_10_6_24/src/PhysicsTools/NanoAODTools/crab_python/work_areas/crab_2016_data_DoubleEGG_DoubleEG_deepflavour_bff
Task name:			220512_183355:rymuelle_crab_2016_data_DoubleEGG_DoubleEG_deepflavour_bff
Grid scheduler - Task Worker:	crab3@vocms0199.cern.ch - crab-prod-tw01
Status on the CRAB server:	SUBMITTED
Task URL to use for HELP:	https://cmsweb.cern.ch/crabserver/ui/task/220512_183355%3Arymuelle_crab_2016_data_DoubleEGG_DoubleEG_deepflavour_bff
Dashboard monitoring URL:	https://monit-grafana.cern.ch/d/cmsTMDetail/cms-task-monitoring-task-view?orgId=11&var-user=rymuelle&var-task=220512_183355%3Arymuelle_crab_2016_data_DoubleEGG_DoubleEG_deepflavour_bff&from=1652376836000&to=now
Status on the scheduler:	COMPLETED

Jobs status:                    finished     		100.0% (62/62)

No publication information (publication has been disabled in the CRAB configuration file)

Warning: the max jobs runtime is less than 30% of the task requested value (1250 min), please consider to request a lower value for failed jobs (allowed through crab resubmit) and/or improve the jobs splitting (e.g. config.Data.splitting = 'Automatic') in a new task.

Summary of run jobs:
 * Memory: 117MB min, 856MB max, 534MB ave
 * Runtime: 0:02:29 min, 1:23:21 max, 0:17:31 ave
 * CPU eff: 13% min, 96% max, 67% ave
 * Waste: 3:36:05 (17% of total)

Log file is /afs/cern.ch/work/r/rymuelle/public/nanoAODzPrime/CMSSW_10_6_24/src/PhysicsTools/NanoAODTools/crab_python/work_areas/crab_2016_data_DoubleEGG_DoubleEG_deepflavour_bff/crab.log
",finished,62,62
